id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3246985",Tilia,Winter-Linde 'Rancho',Tilia cordata 'Rancho',,"5","2014",Deutschland Namensnennung 2.0,Land Berlin
"3246987",Tilia,Winter-Linde 'Rancho',Tilia cordata 'Rancho',"1","5","2014",Deutschland Namensnennung 2.0,Land Berlin
"3246997",Acer,Spitz-Ahorn 'Cleveland',Acer platanoides 'Cleveland',"4","10","2006",Deutschland Namensnennung 2.0,Land Berlin
"3246998",Magnolia,Kobushi-Magnolie,Magnolia kobus,"1","4","2014",Deutschland Namensnennung 2.0,Land Berlin
"3247001",Betula,,Betula pendula,"5","17","1995",Deutschland Namensnennung 2.0,Land Berlin
"3247011",Tilia,Sommer-Linde,Tilia platyphyllos,"8","15","1981",Deutschland Namensnennung 2.0,Land Berlin
"3247012",Ulmus,Berg-Ulme,Ulmus glabra,"5","15","1997",Deutschland Namensnennung 2.0,Land Berlin
"3247016",Prunus,Traubenkirsche,Prunus padus,"5.5","10","1982",Deutschland Namensnennung 2.0,Land Berlin
"3247023",Sorbus,Schwedische Mehlbeere,Sorbus intermedia,"6","6","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247027",Tilia,Winter-Linde,Tilia cordata,"10","10","1971",Deutschland Namensnennung 2.0,Land Berlin
"3247030",Tilia,Winter-Linde,Tilia cordata,"10","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247031",Acer,Eschen-Ahorn,Acer negundo,"8","15","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247032",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","3","2007",Deutschland Namensnennung 2.0,Land Berlin
"3247033",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,,"7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3247042",Acer,Spitz-Ahorn,Acer platanoides,"2","12","2001",Deutschland Namensnennung 2.0,Land Berlin
"3247057",Tilia,Sommer-Linde,Tilia platyphyllos,"5.5","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3247058",Tilia,Sommer-Linde,Tilia platyphyllos,"7.5","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247060",Acer,Berg-Ahorn,Acer pseudoplatanus,"5.5","10","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247063",Tilia,Winter-Linde 'Dilia',Tilia spec.,,"3","2018",Deutschland Namensnennung 2.0,Land Berlin
"3247081",Prunus,Japanische Blütenkirsche 'Kanzan',Prunus serrulata 'Kanzan',"3.5","9","1982",Deutschland Namensnennung 2.0,Land Berlin
"3247089",Acer,Spitz-Ahorn,Acer platanoides,"5","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247122",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"8","12","1969",Deutschland Namensnennung 2.0,Land Berlin
"3247159",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","17","1985",Deutschland Namensnennung 2.0,Land Berlin
"3247172",Tilia,Winter-Linde 'Dilia',Tilia spec.,"7","13.5","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247180",Corylus,Baum-Hasel,Corylus colurna,"4","7","2001",Deutschland Namensnennung 2.0,Land Berlin
"3247183",Tilia,Winter-Linde 'Dilia',Tilia spec.,"5.5","13","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247185",Tilia,Winter-Linde,Tilia cordata,"5","10","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247204",Acer,Spitz-Ahorn,Acer platanoides,"6","10","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247206",Sorbus,Vogelbeere,Sorbus aucuparia,"3","5","1995",Deutschland Namensnennung 2.0,Land Berlin
"3247219",Tilia,Krim-Linde,Tilia euchlora,"8","20","1940",Deutschland Namensnennung 2.0,Land Berlin
"3247222",Acer,Spitz-Ahorn,Acer platanoides,"7","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"3247227",Populus,Echte Schwarz-Pappel,Populus nigra,"8","25","1974",Deutschland Namensnennung 2.0,Land Berlin
"3247240",Acer,Spitz-Ahorn,Acer platanoides,,"7","2003",Deutschland Namensnennung 2.0,Land Berlin
"3247254",Acer,Spitz-Ahorn,Acer platanoides,"2","7","2001",Deutschland Namensnennung 2.0,Land Berlin
"3247262",Betula,,Betula pendula,"8","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"3247283",Tilia,Winter-Linde 'Dilia',Tilia spec.,"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3247350",Populus,Italienische Pappel,Populus nigra 'Italica',"6","17","1976",Deutschland Namensnennung 2.0,Land Berlin
